fecha,temp_max,temp_min,precipitacion
2026-06-19,18.6,0.0,0.0
2026-06-20,17.2,2.9,0.0
2026-06-21,19.2,3.7,0.0
2026-06-22,19.9,3.8,0.0
2026-06-23,20.0,4.2,0.0
2026-06-24,19.3,4.0,0.0
2026-06-25,19.1,4.6,0.0
2026-06-26,18.3,6.0,0.1
2026-06-27,18.3,4.1,1.0
2026-06-28,18.5,2.8,0.1
2026-06-29,17.4,3.1,0.0
2026-06-30,19.0,4.4,0.0
2026-07-01,19.0,2.9,0.5
2026-07-02,16.5,5.8,5.9
2026-07-03,14.8,8.3,10.7
2026-07-04,18.2,4.4,0.0
2026-07-05,20.1,3.4,0.0
2026-07-06,18.5,4.2,0.0
2026-07-07,19.3,5.5,0.1
2026-07-08,18.1,5.0,0.4
2026-07-09,19.3,3.7,0.6
2026-07-10,18.0,4.1,0.0
2026-07-11,20.9,4.0,0.0
2026-07-12,19.6,4.1,0.0
2026-07-13,17.5,4.2,0.0
2026-07-14,18.9,4.6,0.5
2026-07-15,19.3,2.9,0.4
2026-07-16,17.3,3.6,0.4
2026-07-17,19.2,3.1,0.0
2026-07-18,20.7,4.5,0.0
2026-07-19,21.3,3.0,0.0
2026-07-20,20.9,3.7,0.1
2026-07-21,20.5,5.6,0.0
2026-07-22,21.4,5.5,0.0
2026-07-23,20.2,4.6,0.3
2026-07-24,19.1,5.2,1.1
2026-07-25,19.9,3.8,0.9
2026-07-26,21.7,1.5,0.0
2026-07-27,20.1,1.5,0.0
2026-07-28,21.1,4.4,0.0
2026-07-29,20.1,3.4,1.0
2026-07-30,19.0,3.7,0.4
2026-07-31,20.6,4.6,0.0
2026-08-01,19.3,3.7,0.0
2026-08-02,19.9,3.3,0.0
2026-08-03,20.9,3.0,0.0
2026-08-04,21.2,2.6,0.0
2026-08-05,21.9,4.7,0.0
2026-08-06,22.1,4.7,0.0
2026-08-07,21.9,2.5,0.0
2026-08-08,21.4,2.5,0.0
2026-08-09,19.4,5.2,1.5
2026-08-10,16.5,8.1,1.5
2026-08-11,17.7,7.6,0.1
2026-08-12,18.7,5.1,0.0
2026-08-13,19.9,3.1,0.0
2026-08-14,18.2,5.6,0.0
2026-08-15,20.8,3.3,0.0
2026-08-16,19.6,5.0,1.2
2026-08-17,19.3,6.5,0.8
2026-08-18,22.2,6.7,0.1
2026-08-19,21.6,4.6,0.0
2026-08-20,19.3,6.4,0.5
2026-08-21,20.7,5.2,0.2
2026-08-22,19.0,4.8,0.9
2026-08-23,19.2,8.3,0.5
2026-08-24,18.3,6.6,0.4
2026-08-25,22.3,4.3,0.0
2026-08-26,23.2,5.8,0.1
2026-08-27,23.3,4.8,0.1
2026-08-28,22.9,5.5,0.0
2026-08-29,23.6,6.1,0.0
2026-08-30,21.8,4.8,0.9
2026-08-31,23.6,5.3,0.0
2026-09-01,22.2,6.1,1.3
2026-09-02,21.8,8.4,1.3
2026-09-03,20.8,8.0,5.8
2026-09-04,19.8,4.9,0.8
2026-09-05,20.1,4.0,1.6
2026-09-06,19.0,8.9,3.4
2026-09-07,18.4,6.9,0.2
2026-09-08,19.6,5.9,0.9
2026-09-09,20.0,6.8,1.7
2026-09-10,18.3,7.4,2.9
2026-09-11,19.0,5.5,3.2
2026-09-12,19.1,5.6,1.0
2026-09-13,19.6,4.5,0.4
2026-09-14,19.1,6.0,4.0
2026-09-15,18.8,8.2,1.8
2026-09-16,18.9,5.8,0.4
2026-09-17,17.2,7.7,2.5
